suite,run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
thumbnail,3,thumbnail/sheet1x1/320x160,new,1207012.5,1182737.5,1272237.5,2617510.1,828.5,18,1,18,641281,641281
thumbnail,3,thumbnail/sheet2x1/320x160,old,1154637.5,1110150.0,1173287.5,2513343.5,866.1,19,1,19,743681,743681
thumbnail,3,thumbnail/sheet2x1/320x160,new,1105325.0,1067825.0,1178518.8,2408943.9,904.7,18,1,18,641281,641281
thumbnail,3,thumbnail/sheet16x8/320x160,old,1040475.0,1019056.2,1087062.5,2261138.1,961.1,19,1,19,642884,642884
thumbnail,3,thumbnail/sheet16x8/320x160,new,1038887.5,1017606.2,1061175.0,2260932.3,962.6,18,1,18,641284,641284
thumbnail,3,thumbnail/plain/1024x512,old,9368662.5,9271756.2,9411775.0,20379148.3,106.7,15,1,15,2533597,2533597
thumbnail,3,thumbnail/plain/1024x512,new,9367375.0,9340931.2,9389162.5,20375348.4,106.8,15,1,15,2533597,2533597
thumbnail,3,thumbnail/sheet1x1/1024x512,old,10666518.8,10616068.8,10740512.5,23209930.1,93.8,19,1,19,4630785,4630785
thumbnail,3,thumbnail/sheet1x1/1024x512,new,9552950.0,9523606.2,9735312.5,20789270.4,104.7,18,1,18,2533633,2533633
thumbnail,3,thumbnail/sheet2x1/1024x512,old,9538881.2,9495475.0,9825818.8,20752147.2,104.8,19,1,19,3582209,3582209
thumbnail,3,thumbnail/sheet2x1/1024x512,new,9140500.0,8980518.8,9666406.2,19872528.6,109.4,18,1,18,2533633,2533633
thumbnail,3,thumbnail/sheet16x8/1024x512,old,8705081.2,8369412.5,9687262.5,18915920.1,114.9,19,1,19,2550020,2550020
thumbnail,3,thumbnail/sheet16x8/1024x512,new,8362900.0,8340318.8,8533212.5,18198470.2,119.6,18,1,18,2533636,2533636
thumbnail,3,thumbnail_frame/64x64,old,91756.2,91431.2,106437.5,201103.2,10898.4,2,0,2,30784,30784
thumbnail,3,thumbnail_frame/64x64,new,89325.0,88950.0,104387.5,196040.9,11195.1,1,0,1,14400,14400
thumbnail,3,thumbnail_frame/256x256,old,317456.2,306818.8,344625.0,690176.6,3150.0,2,0,2,276544,276544
thumbnail,3,thumbnail_frame/256x256,new,251031.2,247987.5,279850.0,549751.4,3983.6,1,0,1,14400,14400
thumbnail,3,thumbnail_frame/1024x512,old,2383375.0,2336000.0,2464356.2,5177442.6,419.6,2,0,2,2111552,2111552
thumbnail,3,thumbnail_frame/1024x512,new,1225200.0,1217831.2,1245631.2,2673098.4,816.2,1,0,1,14400,14400
assets,4,fallback/correct/1x1,new,85956.2,82800.0,104406.2,188111.5,11633.8,10,1,10,37227,37227
assets,4,fallback/correct/1x1,old,84631.2,83931.2,88856.2,185011.1,11816.0,11,1,11,37270,37270
assets,4,fallback/mismatch/1x1,new,110756.2,109050.0,138375.0,242643.5,9028.8,12,1,12,37374,37374
assets,4,fallback/mismatch/1x1,old,183525.0,180587.5,201825.0,398104.4,5448.8,16,1,16,45730,45730
assets,4,fallback/unknown/1x1,new,91206.2,90512.5,115650.0,199662.6,10964.2,13,1,13,37282,37282
assets,4,fallback/unknown/1x1,old,92543.8,91043.8,102687.5,202090.9,10805.7,13,1,13,37282,37282
assets,4,banner/1x1,new,82081.2,81787.5,96793.8,180264.4,12183.1,10,1,10,37225,37225
assets,4,banner/1x1,old,84937.5,81343.8,106262.5,184187.9,11773.4,12,1,12,37272,37272
assets,4,fallback/correct/320x80,new,701268.8,665143.8,731006.2,1521025.2,1426.0,10,1,10,439143,439143
assets,4,fallback/correct/320x80,old,700156.2,692600.0,730900.0,1520572.6,1428.3,11,1,11,439186,439186
assets,4,fallback/mismatch/320x80,new,902212.5,785018.8,965875.0,1956691.6,1108.4,12,1,12,528377,528377
assets,4,fallback/mismatch/320x80,old,879993.8,842925.0,915868.8,1915672.4,1136.4,16,1,16,536733,536733
assets,4,fallback/unknown/320x80,new,569593.8,555337.5,604856.2,1235455.9,1755.6,13,1,13,439198,439198
assets,4,fallback/unknown/320x80,old,587306.2,568712.5,649625.0,1286297.4,1702.7,13,1,13,439198,439198
assets,4,banner/320x80,new,676687.5,648631.2,696800.0,1464599.9,1477.8,10,1,10,439141,439141
assets,4,banner/320x80,old,664675.0,625443.8,689375.0,1444364.9,1504.5,12,1,12,541584,541584
assets,4,fallback/correct/1024x512,new,8338887.5,8299618.8,8549612.5,18152965.7,119.9,10,1,10,2519143,2519143
assets,4,fallback/correct/1024x512,old,8321350.0,8269875.0,8671462.5,18100916.6,120.2,11,1,11,2519186,2519186
assets,4,fallback/mismatch/1024x512,new,9016712.5,8886481.2,9179631.2,19589908.9,110.9,12,1,12,4342302,4342302
assets,4,fallback/mismatch/1024x512,old,8992087.5,8932112.5,9274243.8,19551811.6,111.2,16,1,16,4350658,4350658
assets,4,fallback/unknown/1024x512,new,8218012.5,8157287.5,8680968.8,17879880.0,121.7,13,1,13,2519198,2519198
assets,4,fallback/unknown/1024x512,old,8207787.5,8134918.8,8419043.8,17856420.9,121.8,13,1,13,2519198,2519198
assets,4,banner/1024x512,new,8487768.8,8382406.2,8878575.0,18426339.4,117.8,10,1,10,2519141,2519141
assets,4,banner/1024x512,old,9029481.2,8890050.0,9326643.8,19657967.1,110.7,12,1,12,4616336,4616336
assets,4,fallback/invalid.png,new,89968.8,86212.5,91912.5,192926.8,11115.0,13,0,13,47567,47567
assets,4,fallback/invalid.png,old,157637.5,150362.5,177468.8,345589.0,6343.7,21,0,21,55933,55933
assets,4,fallback/unknown.data,new,74787.5,73606.2,83912.5,163678.4,13371.2,9,0,9,8378,8378
assets,4,fallback/unknown.data,old,76462.5,73381.2,78268.8,162964.9,13078.3,10,0,10,8382,8382
assets,4,rgba_owned/1x1,new,40.6,37.5,43.8,1262.1,24615384.6,0,0,0,0,0
assets,4,rgba_owned/1x1,old,103.1,100.0,112.5,1365.0,9696969.7,1,0,1,4,4
assets,4,rgba_owned/320x80,new,40.6,28.1,56.2,1269.0,24615384.6,0,0,0,0,0
