suite,run,case,variant,ns,min_ns,max_ns,cycles,throughput,allocs,reallocs,frees,allocated_bytes,freed_bytes
pack,5,pack_load/1x1,old,1516412.5,1485025.0,1567362.5,3280427.2,659.5,76,35,76,171635,171635
pack,5,pack_load/1x1,new,1130800.0,1078312.5,1196112.5,2460567.8,884.3,68,35,68,170796,170796
pack,5,pack_load/64x4,old,119274575.0,116211700.0,127529950.0,259223215.9,536.6,5134,2589,5134,1089653,1089653
pack,5,pack_load/64x4,new,76840050.0,73704512.5,81446662.5,164726683.0,832.9,3975,2589,3975,950777,950777
pack,5,pack_load/512x4,old,945970100.0,932793650.0,971848750.0,2047980215.5,541.2,40681,20512,40681,7553151,7553151
pack,5,pack_load/512x4,new,588331500.0,574805100.0,597617400.0,1273107026.0,870.3,31455,20512,31455,6442067,6442067
workshop,5,workshop_choices/0x0,old,50.0,50.0,53.1,110.2,19980487.8,0,0,0,0,0
workshop,5,workshop_choices/0x0,new,15.1,15.1,15.1,33.5,66278317.2,0,0,0,0,0
workshop,5,workshop_choices/1x0,old,4018.8,4006.2,4125.0,8903.5,497667.2,32,0,32,2896,2896
workshop,5,workshop_choices/1x0,new,2643.8,2631.2,2681.2,5871.6,756501.2,20,0,20,2518,2518
workshop,5,workshop_choices/64x0,old,298300.0,267368.8,339425.0,650968.4,429098.2,2157,0,2157,94745,94745
workshop,5,workshop_choices/64x0,new,217437.5,202293.8,281987.5,464228.8,588674.9,1187,1,1187,66275,66275
workshop,5,workshop_choices/512x0,old,2532593.8,2380437.5,2596581.2,5499737.0,404328.6,17248,0,17248,779490,779490
workshop,5,workshop_choices/512x0,new,2091675.0,1896237.5,2213050.0,4558877.8,489559.8,9446,2,9446,546660,546660
workshop,5,workshop_choices/512x4,old,3955000.0,3636012.5,4204693.8,8600462.4,258912.8,25440,2048,25440,1467106,1467106
workshop,5,workshop_choices/512x4,new,2655650.0,2588518.8,3096487.5,5784853.6,385593.0,9446,1028,9446,776424,776424
