affinity_mask,run,order,mode,case,version,median_ns,min_ns,max_ns,thread_cycles,items_per_second,allocs,reallocs,frees,allocated_bytes,freed_bytes
2,3,old-first,tracked,sprites_fragmented,old,18623.0,17809.0,18936.3,42252.1,109971263.8,0,0,0,0,0
2,3,old-first,tracked,sprites_fragmented,new,25054.7,18553.9,26814.1,52456.2,81741191.1,0,0,0,0,0
2,3,old-first,tracked,meshes_layers,old,52253.1,49244.1,69446.5,114551.6,39193828.1,0,0,0,0,0
2,3,old-first,tracked,meshes_layers,new,51091.8,49548.4,66132.0,114478.7,40084712.7,0,0,0,0,0
2,3,old-first,tracked,meshes_same_z,old,48512.1,47293.0,50146.1,108210.1,42216263.7,0,0,0,0,0
2,3,old-first,tracked,meshes_same_z,new,49828.1,47895.7,51365.6,111046.4,41101285.7,0,0,0,0,0
2,3,old-first,tracked,meshes_cameras,old,58561.7,58064.8,61423.8,130112.9,34971651.2,0,0,0,0,0
2,3,old-first,tracked,meshes_cameras,new,58797.7,58005.1,69561.3,129709.9,34831320.3,0,0,0,0,0
2,3,old-first,tracked,tmesh_layers,old,69528.9,68516.0,71467.2,154335.0,29455374.9,0,0,0,0,0
2,3,old-first,tracked,tmesh_layers,new,66761.3,66029.7,69250.0,147661.8,30676441.8,0,0,0,0,0
2,3,old-first,tracked,tmesh_16layers,old,69496.1,68644.9,69860.2,153025.8,29469282.2,0,0,0,0,0
2,3,old-first,tracked,tmesh_16layers,new,67560.2,66246.5,68794.5,149906.5,30313725.0,0,0,0,0,0
2,3,old-first,tracked,tmesh_depth,old,70058.6,68066.0,73896.9,154968.7,29232673.5,0,0,0,0,0
2,3,old-first,tracked,tmesh_depth,new,67431.2,66670.7,86348.8,149354.3,30371674.9,0,0,0,0,0
2,3,old-first,tracked,tmesh_cameras,old,76587.9,74623.4,82373.0,169620.3,26740519.7,0,0,0,0,0
2,3,old-first,tracked,tmesh_cameras,new,75759.4,74779.7,85049.2,167937.2,27032958.0,0,0,0,0,0
2,3,old-first,tracked,mixed,old,44659.0,44268.4,47262.5,99854.4,45858633.6,0,0,0,0,0
2,3,old-first,tracked,mixed,new,44532.4,43919.5,46162.9,99182.3,45988965.2,0,0,0,0,0
16,1,old-first,untracked,sprites_layers,old,11355.1,6239.5,12806.6,26440.3,180359833.5,0,0,0,0,0
16,1,old-first,untracked,sprites_layers,new,3353.9,3195.3,3724.6,9031.2,610631260.2,0,0,0,0,0
